variant_idx,pct_random,engine,iteration,cost
9,89,DampingEngine,0,73002.0
9,89,DampingEngine,1,72308.0
9,89,DampingEngine,2,73454.0
9,89,DampingEngine,3,73464.0
9,89,DampingEngine,4,73093.0
9,89,DampingEngine,5,73098.0
9,89,DampingEngine,6,72981.0
9,89,DampingEngine,7,72981.0
9,89,DampingEngine,8,73064.0
9,89,DampingEngine,9,73064.0
9,89,DampingEngine,10,73064.0
9,89,DampingEngine,11,73235.0
9,89,DampingEngine,12,73235.0
9,89,DampingEngine,13,73313.0
9,89,DampingEngine,14,73096.0
9,89,DampingEngine,15,73010.0
9,89,DampingEngine,16,73096.0
9,89,DampingEngine,17,73096.0
9,89,DampingEngine,18,73019.0
9,89,DampingEngine,19,73091.0
9,89,DampingEngine,20,73091.0
9,89,DampingEngine,21,73091.0
9,89,DampingEngine,22,73221.0
9,89,DampingEngine,23,73221.0
9,89,DampingEngine,24,73221.0
9,89,DampingEngine,25,73109.0
9,89,DampingEngine,26,73109.0
9,89,DampingEngine,27,73038.0
9,89,DampingEngine,28,72902.0
9,89,DampingEngine,29,72902.0
9,89,DampingEngine,30,72902.0
9,89,DampingEngine,31,72902.0
9,89,DampingEngine,32,72902.0
9,89,DampingEngine,33,72902.0
9,89,DampingEngine,34,72902.0
9,89,DampingEngine,35,72902.0
9,89,DampingEngine,36,72902.0
9,89,DampingEngine,37,72902.0
9,89,DampingEngine,38,72902.0
9,89,DampingEngine,39,72902.0
9,89,DampingEngine,40,72902.0
9,89,DampingEngine,41,72902.0
9,89,DampingEngine,42,72902.0
9,89,DampingEngine,43,72902.0
9,89,DampingEngine,44,72902.0
9,89,DampingEngine,45,72902.0
9,89,DampingEngine,46,72902.0
9,89,DampingEngine,47,72902.0
9,89,DampingEngine,48,72902.0
9,89,DampingEngine,49,72902.0
9,89,DampingEngine,50,72902.0
9,89,DampingEngine,51,72902.0
9,89,DampingEngine,52,72902.0
9,89,DampingEngine,53,72902.0
9,89,DampingEngine,54,72902.0
9,89,DampingEngine,55,72902.0
9,89,DampingEngine,56,72902.0
9,89,DampingEngine,57,72902.0
9,89,DampingEngine,58,72902.0
9,89,DampingEngine,59,72902.0
9,89,DampingEngine,60,72902.0
9,89,DampingEngine,61,72902.0
9,89,DampingEngine,62,72902.0
9,89,DampingEngine,63,72902.0
9,89,DampingEngine,64,72902.0
9,89,DampingEngine,65,72902.0
9,89,DampingEngine,66,72902.0
9,89,DampingEngine,67,72902.0
9,89,DampingEngine,68,72902.0
9,89,DampingEngine,69,72902.0
9,89,DampingEngine,70,72902.0
9,89,DampingEngine,71,72902.0
9,89,DampingEngine,72,72902.0
9,89,DampingEngine,73,72902.0
9,89,DampingEngine,74,72902.0
9,89,DampingEngine,75,72902.0
9,89,DampingEngine,76,72902.0
9,89,DampingEngine,77,72902.0
9,89,DampingEngine,78,72902.0
9,89,DampingEngine,79,72902.0
9,89,DampingEngine,80,72902.0
9,89,DampingEngine,81,72902.0
9,89,DampingEngine,82,72902.0
9,89,DampingEngine,83,72902.0
9,89,DampingEngine,84,72902.0
9,89,DampingEngine,85,72902.0
9,89,DampingEngine,86,72902.0
9,89,DampingEngine,87,72902.0
9,89,DampingEngine,88,72902.0
9,89,DampingEngine,89,72902.0
9,89,DampingEngine,90,72902.0
9,89,DampingEngine,91,72902.0
9,89,DampingEngine,92,72902.0
9,89,DampingEngine,93,72902.0
9,89,DampingEngine,94,72902.0
9,89,DampingEngine,95,72902.0
9,89,DampingEngine,96,72902.0
9,89,DampingEngine,97,72902.0
9,89,DampingEngine,98,72902.0
9,89,DampingEngine,99,72902.0
9,89,DampingEngine,100,72902.0
9,89,DampingEngine,101,72902.0
9,89,DampingEngine,102,72902.0
9,89,DampingEngine,103,72902.0
9,89,DampingEngine,104,72902.0
9,89,DampingEngine,105,72902.0
9,89,DampingEngine,106,72902.0
9,89,DampingEngine,107,72902.0
9,89,DampingEngine,108,72902.0
9,89,DampingEngine,109,72902.0
9,89,DampingEngine,110,72902.0
9,89,DampingEngine,111,72902.0
9,89,DampingEngine,112,72902.0
9,89,DampingEngine,113,72902.0
9,89,DampingEngine,114,72902.0
9,89,DampingEngine,115,72902.0
9,89,DampingEngine,116,72902.0
9,89,DampingEngine,117,72902.0
9,89,DampingEngine,118,72902.0
9,89,DampingEngine,119,72902.0
9,89,DampingEngine,120,72902.0
9,89,DampingEngine,121,72902.0
9,89,DampingEngine,122,72902.0
9,89,DampingEngine,123,72902.0
9,89,DampingEngine,124,72902.0
9,89,DampingEngine,125,72902.0
9,89,DampingEngine,126,72902.0
9,89,DampingEngine,127,72902.0
9,89,DampingEngine,128,72902.0
9,89,DampingEngine,129,72902.0
9,89,DampingEngine,130,72902.0
9,89,DampingEngine,131,72902.0
9,89,DampingEngine,132,72902.0
9,89,DampingEngine,133,72902.0
9,89,DampingEngine,134,72902.0
9,89,DampingEngine,135,72902.0
9,89,DampingEngine,136,72902.0
9,89,DampingEngine,137,72902.0
9,89,DampingEngine,138,72902.0
9,89,DampingEngine,139,72902.0
9,89,DampingEngine,140,72902.0
9,89,DampingEngine,141,72902.0
9,89,DampingEngine,142,72902.0
9,89,DampingEngine,143,72902.0
9,89,DampingEngine,144,72902.0
9,89,DampingEngine,145,72902.0
9,89,DampingEngine,146,72902.0
9,89,DampingEngine,147,72902.0
9,89,DampingEngine,148,72902.0
9,89,DampingEngine,149,72902.0
9,89,DampingEngine,150,72902.0
9,89,DampingEngine,151,72902.0
9,89,DampingEngine,152,72902.0
9,89,DampingEngine,153,72902.0
9,89,DampingEngine,154,72902.0
9,89,DampingEngine,155,72902.0
9,89,DampingEngine,156,72902.0
9,89,DampingEngine,157,72902.0
9,89,DampingEngine,158,72902.0
9,89,DampingEngine,159,72902.0
9,89,DampingEngine,160,72902.0
9,89,DampingEngine,161,72902.0
9,89,DampingEngine,162,72902.0
9,89,DampingEngine,163,72902.0
9,89,DampingEngine,164,72902.0
9,89,DampingEngine,165,72902.0
9,89,DampingEngine,166,72902.0
9,89,DampingEngine,167,72902.0
9,89,DampingEngine,168,72902.0
9,89,DampingEngine,169,72902.0
9,89,DampingEngine,170,72902.0
9,89,DampingEngine,171,72902.0
9,89,DampingEngine,172,72902.0
9,89,DampingEngine,173,72902.0
9,89,DampingEngine,174,72902.0
9,89,DampingEngine,175,72902.0
9,89,DampingEngine,176,72902.0
9,89,DampingEngine,177,72902.0
9,89,DampingEngine,178,72902.0
9,89,DampingEngine,179,72902.0
9,89,DampingEngine,180,72902.0
9,89,DampingEngine,181,72902.0
9,89,DampingEngine,182,72902.0
9,89,DampingEngine,183,72902.0
9,89,DampingEngine,184,72902.0
9,89,DampingEngine,185,72902.0
9,89,DampingEngine,186,72902.0
9,89,DampingEngine,187,72902.0
9,89,DampingEngine,188,72902.0
9,89,DampingEngine,189,72902.0
9,89,DampingEngine,190,72902.0
9,89,DampingEngine,191,72902.0
9,89,DampingEngine,192,72902.0
9,89,DampingEngine,193,72902.0
9,89,DampingEngine,194,72902.0
9,89,DampingEngine,195,72902.0
9,89,DampingEngine,196,72902.0
9,89,DampingEngine,197,72902.0
9,89,DampingEngine,198,72902.0
9,89,DampingEngine,199,72902.0
